sn_name,sn_ra,sn_dec,sn_redshift,host_candi_id,host_ra,host_dec,host_specz
ZTF18aawcwsx,160.1394,47.0401,0.09,1237658204504260682,160.1392,47.04023,-99.0
ZTF18aarktll,165.6192,34.30243,0.11,1237665129610739923,165.6204,34.30267,-99.0
ZTF18aavnxar,194.3443,26.81488,0.085,1237667322723762350,194.3444,26.81485,0.08503866
ZTF18aarymnz,109.4831,40.98549000000001,0.023,1237673706650140823,109.4877,40.98308,-99.0
ZTF18aasrssa,163.1663,19.94579,0.05,1237667781215191200,163.1694,19.94478,0.03011233
ZTF18aaxcntm,247.0464,39.82013,0.026792000000000003,1237659330852028671,247.0482,39.82191,0.02679243
ZTF18aabxrjp,185.5432,26.99455,0.0792,1237667442434441342,185.5435,26.99454,0.07917714
ZTF18aauvnhh,213.3438,22.57835,0.058,1237665566606491809,213.3435,22.5781,0.05830778
ZTF18aaqfziz,224.7691,19.58725,0.05383,1237665566074470519,224.7672,19.5873,0.05382606
ZTF18aawtveo,253.3543,64.12435,0.16,1237671769078563124,253.3544,64.12428,-99.0
ZTF18aawpcel,195.321,59.81003000000001,0.15,1237658312406466772,195.3187,59.80994000000001,-99.0
ZTF18aaqffyp,231.945,34.9482,0.073,1237661873493442732,231.9465,34.94871,-99.0
ZTF18aavrwhu,206.7352,43.13728,0.06201,1237661851476295747,206.7343,43.13752,0.06201363
ZTF18aaxdrjn,185.0069,56.15886,0.0339,1237657591934025821,185.0063,56.16291999999999,0.03391414
ZTF18aaxkfos,160.338,45.67039000000001,0.075,1237661358610710616,160.3378,45.67036,-99.0
ZTF18aaxmixe,216.6674,7.61832,0.1,1237662269142860020,216.6673,7.618302000000001,-99.0
ZTF18aaxmacd,185.1423,22.84233,0.14,1237667735582671408,185.1422,22.84207,-99.0
ZTF18aaydmkh,260.1611,52.04193,0.0845,1237651211216355636,260.1609,52.04192000000001,-99.0
ZTF18aawxlxf,165.5706,58.23402,0.08213,1237655107836706897,165.5739,58.23561,0.08212955
ZTF18aaykuzt,222.7471,55.19419,0.105,1237659327093211928,222.747,55.19422,-99.0
ZTF18aaxxewy,216.1892,5.839848,0.08199999999999999,1237662266995245194,216.1895,5.8392050000000015,0.07998238
ZTF18aaxnkos,156.5272,47.27429,0.0628,1237658614124707965,156.5266,47.2732,0.06282137
ZTF18aaylcvo,232.0435,16.92911,0.046,1237668335783116949,232.0418,16.9306,0.04446448
ZTF18aayivxm,183.4496,40.71565,0.1,1237664669518790822,183.4495,40.71483,0.08753328
ZTF18aayxupv,183.3874,25.45156,0.047,1237667912203239535,183.3875,25.45125,-99.0
ZTF18aaxxfah,223.7017,5.507432,0.062,1237655743481446665,223.7005,5.506802,0.05672902
